Centro;Capacidad AIRE;AIRE;Capacidad TIERRA;TIERRA;Capacidad MAR;MAR;Capacidad Total;Total;Capacidad Restante (tn)
SAN_PABLO;2100,0;0,0;1200,0;0,0;800,0;0,0;4100,0;0,0;4100,0
PANAMA;1800,0;0,0;1100,0;90,0;1900,0;65,0;4800,0;155,0;4645,0
NUEVA_YORK;1800,0;0,0;1200,0;0,0;2500,0;2305,21;5500,0;2305,21;3194,79
AMSTERDAM;700,0;700,0;900,0;900,0;1300,0;1300,0;2900,0;2900,0;0,0
ESTAMBUL;1400,0;1400,0;600,0;10,0;1100,0;1100,0;3100,0;2510,0;590,0
TOKIO;1800,0;0,0;-0,0;0,0;2000,0;982,0;3800,0;982,0;2818,0
