Destino;Capacidad (tn);Ayuda Recibida (tn);Capacidad Restante (tn)
VARSOVIA;6800,0;4895,51;1904,4899999999998
BRATISLAVA;4000,0;4000,0;0,0
BUCAREST;5400,0;5400,0;0,0
